order id,order date,customer id,product id,quantity,customer name,customer email,phone number,address line 1,city,country,postcode,loyalty card,coffee type,roast type,size,unit price,price per 100g,profit
QEV-37451-860,2021-09-05,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597
QEV-37451-860,2021-09-05,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Exc,M,0.5,8.25,1.65,0.9075
FAA-43335-268,2023-06-17,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,United States,78205,Yes,Ara,L,1.0,12.95,1.295,1.1655
KAC-83089-793,2023-07-15,23806-46781-OU,E-M-1,2,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Exc,M,1.0,13.75,1.375,1.5125
KAC-83089-793,2023-07-15,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Rob,L,2.5,27.484999999999996,1.0994,1.6490999999999998
CVP-18956-553,2023-08-04,86561-91660-RB,L-D-1,3,Beryle Cottier,,+1 (570) 289-7473,2651 Stoughton Place,Scranton,United States,18505,No,Lib,D,1.0,12.95,1.295,1.6835
IPP-31994-879,2024-01-21,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,United States,45440,Yes,Exc,D,0.5,7.29,1.458,0.8019000000000001
SNZ-65340-705,2024-05-20,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,,+353 (507) 574-3034,7 Straubel Road,Kill,Ireland,P24,Yes,Lib,L,0.2,4.755,2.3775,0.61815
EZT-46571-659,2021-01-02,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No,Rob,M,0.5,5.97,1.194,0.35819999999999996
NWQ-70061-912,2021-09-05,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,United States,90065,No,Rob,M,0.5,5.97,1.194,0.35819999999999996
BKK-47233-845,2023-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,United States,95160,No,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999
VQR-01002-970,2022-10-28,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,United States,95194,Yes,Exc,L,2.5,34.154999999999994,1.3661999999999999,3.7570499999999996
SZW-48378-399,2024-07-02,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,United States,23285,No,Rob,M,1.0,9.95,0.9949999999999999,0.597
ITA-87418-783,2022-05-22,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,,331 Bunting Hill,Migrate,United States,41905,No,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999
GNZ-46006-527,2024-04-05,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,United States,63131,Yes,Lib,D,0.2,3.885,1.9425,0.50505
FYQ-78248-319,2024-06-07,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,,022 Roth Place,Philadelphia,United States,19172,No,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998
VAU-44387-624,2021-03-20,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,3 Charing Cross Trail,Portland,United States,97271,No,Ara,M,0.2,3.375,1.6875,0.30374999999999996
RDW-33155-159,2021-10-19,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,83517 Thierer Court,Houston,United States,77240,No,Ara,L,1.0,12.95,1.295,1.1655
TDZ-59011-211,2021-06-13,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,,7337 Hayes Junction,Caherconlish,Ireland,F45,Yes,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999
IDU-25793-399,2022-12-04,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,Ara,M,0.2,3.375,1.6875,0.30374999999999996
IDU-25793-399,2022-12-04,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,Exc,D,0.2,3.645,1.8225,0.40095000000000003
NUO-20013-488,2022-12-04,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,9 Warrior Junction,Grand Rapids,United States,49560,No,Ara,D,0.2,2.985,1.4925,0.26865
UQU-65630-479,2023-01-22,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,77965 Lawn Park,Punta Gorda,United States,33982,Yes,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998
FEO-11834-332,2024-02-11,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,1 Morningstar Lane,Vancouver,United States,98682,Yes,Ara,D,0.2,2.985,1.4925,0.26865
TKY-71558-096,2023-09-15,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,013 Talisman Terrace,Englewood,United States,80150,No,Ara,M,1.0,11.25,1.125,1.0125
OXY-65322-253,2022-10-24,07591-92789-UA,E-M-0.2,3,Culley Farris,,+1 (941) 267-4822,4 Mitchell Drive,Punta Gorda,United States,33982,Yes,Exc,M,0.2,4.125,2.0625,0.45375
EVP-43500-491,2021-02-20,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,74 Bultman Plaza,Petaluma,United States,94975,Yes,Ara,M,0.5,6.75,1.35,0.6074999999999999
WAG-26945-689,2021-10-08,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,5626 Darwin Avenue,Tralee,Ireland,V92,No,Ara,M,0.2,3.375,1.6875,0.30374999999999996
CHE-78995-767,2024-08-02,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,Ireland,D04,No,Ara,D,0.5,5.97,1.194,0.5373
RYZ-14633-602,2021-02-20,14158-30713-OB,A-D-1,4,Mozelle Calcutt,mcalcuttt@baidu.com,+353 (928) 869-1762,4389 Russell Way,Rathwire,Ireland,Y25,Yes,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999
WOQ-36015-429,2023-09-25,51427-89175-QJ,L-M-0.2,5,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,Lib,M,0.2,4.365,2.1825,0.56745
WOQ-36015-429,2023-09-25,51427-89175-QJ,A-D-0.5,6,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,Ara,D,0.5,5.97,1.194,0.5373
WOQ-36015-429,2023-09-25,51427-89175-QJ,L-M-0.5,6,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,Lib,M,0.5,8.73,1.746,1.1349
SCT-60553-454,2023-07-17,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,ggatheralx@123-reg.co.uk,,40 Clemons Place,Grand Forks,United States,58207,No,Lib,L,0.2,4.755,2.3775,0.61815
GFK-52063-244,2022-06-29,44981-99666-XB,L-L-0.5,6,Una Welberry,uwelberryy@ebay.co.uk,+44 (392) 503-8132,40915 Schlimgen Park,Upton,United Kingdom,DN21,Yes,Lib,L,0.5,9.51,1.902,1.2363
